issue_type,issue_detail,columns_involved,EMP_ID,EMP_NAME,EMAIL,PHONE,SALARY,DEPT_ID,JOIN_DATE
range_violations,Range validation failed for column SALARY,SALARY,1001,Employee_1001,employee1001@example.com,9544453185,-100,17,2024-12-26
range_violations,Range validation failed for column SALARY,SALARY,1002,Employee_1002,employee1002@example.com,9772011986,-100,11,2020-05-28
range_violations,Range validation failed for column SALARY,SALARY,1003,Employee_1003,employee1003@example.com,9688200062,-100,13,2024-01-23
range_violations,Range validation failed for column SALARY,SALARY,1004,Employee_1004,employee1004@example.com,9409165448,-100,15,2023-04-26
range_violations,Range validation failed for column SALARY,SALARY,1005,Employee_1005,employee1005@example.com,9382747863,-100,8,2020-06-25
range_violations,Range validation failed for column SALARY,SALARY,1006,Employee_1006,employee1006@example.com,9344165213,-100,11,2025-05-21
range_violations,Range validation failed for column SALARY,SALARY,1007,Employee_1007,employee1007@example.com,9471857603,-100,12,2021-09-01
range_violations,Range validation failed for column SALARY,SALARY,1008,Employee_1008,employee1008@example.com,9806862092,-100,7,2023-11-11
range_violations,Range validation failed for column SALARY,SALARY,1009,Employee_1009,employee1009@example.com,9785206834,-100,5,2024-02-01
range_violations,Range validation failed for column SALARY,SALARY,1010,Employee_1010,employee1010@example.com,9103719889,-100,5,2020-10-01
range_violations,Range validation failed for column SALARY,SALARY,1011,Employee_1011,employee1011@example.com,9100980494,-100,16,2021-02-11
range_violations,Range validation failed for column SALARY,SALARY,1012,Employee_1012,employee1012@example.com,9813982897,-100,6,2024-07-29
range_violations,Range validation failed for column SALARY,SALARY,1013,Employee_1013,employee1013@example.com,9817985406,-100,20,2020-10-05
range_violations,Range validation failed for column SALARY,SALARY,1014,Employee_1014,employee1014@example.com,9801711280,-100,9,2021-10-04
range_violations,Range validation failed for column SALARY,SALARY,1015,Employee_1015,employee1015@example.com,9724031883,-100,4,2023-11-04
range_violations,Range validation failed for column SALARY,SALARY,1016,Employee_1016,employee1016@example.com,9325025794,-100,18,2025-04-11
range_violations,Range validation failed for column SALARY,SALARY,1017,Employee_1017,employee1017@example.com,9174858092,-100,15,2020-05-30
range_violations,Range validation failed for column SALARY,SALARY,1018,Employee_1018,employee1018@example.com,9229986123,-100,16,2021-09-14
range_violations,Range validation failed for column SALARY,SALARY,1019,Employee_1019,employee1019@example.com,9462451586,-100,13,2023-05-16
range_violations,Range validation failed for column SALARY,SALARY,1020,Employee_1020,employee1020@example.com,9679027853,-100,12,2021-04-30
range_violations,Range validation failed for column SALARY,SALARY,1021,Employee_1021,employee1021@example.com,9211934749,-100,2,2021-05-03
range_violations,Range validation failed for column SALARY,SALARY,1022,Employee_1022,employee1022@example.com,9667911871,-100,6,2020-11-07
range_violations,Range validation failed for column SALARY,SALARY,1023,Employee_1023,employee1023@example.com,9170989823,-100,4,2023-08-28
range_violations,Range validation failed for column SALARY,SALARY,1024,Employee_1024,employee1024@example.com,9436853005,-100,17,2021-06-19
range_violations,Range validation failed for column SALARY,SALARY,1025,Employee_1025,employee1025@example.com,9549557081,-100,19,2020-09-21
range_violations,Range validation failed for column SALARY,SALARY,1026,Employee_1026,employee1026@example.com,9624119112,-100,5,2024-01-29
range_violations,Range validation failed for column SALARY,SALARY,1027,Employee_1027,employee1027@example.com,9304919519,-100,10,2025-03-05
range_violations,Range validation failed for column SALARY,SALARY,1028,Employee_1028,employee1028@example.com,9651330693,-100,15,2023-01-23
range_violations,Range validation failed for column SALARY,SALARY,1029,Employee_1029,employee1029@example.com,9637003366,-100,7,2021-03-10
range_violations,Range validation failed for column SALARY,SALARY,1030,Employee_1030,employee1030@example.com,9237676084,-100,14,2020-01-01
range_violations,Range validation failed for column SALARY,SALARY,1031,Employee_1031,employee1031@example.com,9880529496,-100,3,2022-02-20
range_violations,Range validation failed for column SALARY,SALARY,1032,Employee_1032,employee1032@example.com,9167519379,-100,8,2024-08-13
range_violations,Range validation failed for column SALARY,SALARY,1033,Employee_1033,employee1033@example.com,9600518723,-100,11,2022-06-19
range_violations,Range validation failed for column SALARY,SALARY,1034,Employee_1034,employee1034@example.com,9791646413,-100,15,2024-05-10
range_violations,Range validation failed for column SALARY,SALARY,1035,Employee_1035,employee1035@example.com,9695282203,-100,12,2022-12-16
range_violations,Range validation failed for column SALARY,SALARY,1036,Employee_1036,employee1036@example.com,9400301915,-100,13,2024-09-23
range_violations,Range validation failed for column SALARY,SALARY,1037,Employee_1037,employee1037@example.com,9292097380,-100,1,2023-05-30
range_violations,Range validation failed for column SALARY,SALARY,1038,Employee_1038,employee1038@example.com,9403521021,-100,12,2022-07-14
range_violations,Range validation failed for column SALARY,SALARY,1039,Employee_1039,employee1039@example.com,9683990408,-100,9,2022-02-22
range_violations,Range validation failed for column SALARY,SALARY,1040,Employee_1040,employee1040@example.com,9212235871,-100,2,2023-05-12
range_violations,Range validation failed for column SALARY,SALARY,1041,Employee_1041,employee1041@example.com,9476013635,-100,13,2022-12-16
range_violations,Range validation failed for column SALARY,SALARY,1042,Employee_1042,employee1042@example.com,9801963606,-100,7,2021-10-23
range_violations,Range validation failed for column SALARY,SALARY,1043,Employee_1043,employee1043@example.com,9500874181,-100,20,2021-03-29
range_violations,Range validation failed for column SALARY,SALARY,1044,Employee_1044,employee1044@example.com,9983523367,-100,10,2023-12-13
range_violations,Range validation failed for column SALARY,SALARY,1045,Employee_1045,employee1045@example.com,9448348384,-100,7,2022-07-30
range_violations,Range validation failed for column SALARY,SALARY,1046,Employee_1046,employee1046@example.com,9145455157,-100,15,2020-02-07
range_violations,Range validation failed for column SALARY,SALARY,1047,Employee_1047,employee1047@example.com,9470484441,-100,17,2021-09-14
range_violations,Range validation failed for column SALARY,SALARY,1048,Employee_1048,employee1048@example.com,9709450345,-100,1,2020-01-15
range_violations,Range validation failed for column SALARY,SALARY,1049,Employee_1049,employee1049@example.com,9123828482,-100,20,2024-10-13
range_violations,Range validation failed for column SALARY,SALARY,1050,Employee_1050,employee1050@example.com,9298585947,-100,4,2025-05-10
range_violations,Range validation failed for column SALARY,SALARY,1051,Employee_1051,employee1051@example.com,9636963580,-100,9,2022-04-08
range_violations,Range validation failed for column SALARY,SALARY,1052,Employee_1052,employee1052@example.com,9693648828,-100,9,2024-01-31
range_violations,Range validation failed for column SALARY,SALARY,1053,Employee_1053,employee1053@example.com,9287673450,-100,10,2023-07-11
range_violations,Range validation failed for column SALARY,SALARY,1054,Employee_1054,employee1054@example.com,9868645442,-100,17,2022-04-30
range_violations,Range validation failed for column SALARY,SALARY,1055,Employee_1055,employee1055@example.com,9261808921,-100,1,2021-01-31
range_violations,Range validation failed for column SALARY,SALARY,1056,Employee_1056,employee1056@example.com,9451329792,-100,10,2022-07-07
range_violations,Range validation failed for column SALARY,SALARY,1057,Employee_1057,employee1057@example.com,9973727603,-100,14,2021-04-29
range_violations,Range validation failed for column SALARY,SALARY,1058,Employee_1058,employee1058@example.com,9914872215,-100,10,2024-05-18
range_violations,Range validation failed for column SALARY,SALARY,1059,Employee_1059,employee1059@example.com,9710663172,-100,10,2023-05-15
range_violations,Range validation failed for column SALARY,SALARY,1060,Employee_1060,employee1060@example.com,9247470709,-100,18,2023-05-14
range_violations,Range validation failed for column SALARY,SALARY,1061,Employee_1061,employee1061@example.com,9628185143,-100,9,2022-07-12
range_violations,Range validation failed for column SALARY,SALARY,1062,Employee_1062,employee1062@example.com,9992475874,-100,5,2024-08-23
