customer_id,first_name,last_name,email,phone,gender,dob,city,salary
1001,Amit,Patel,,,,2017-03-17,Ahmedabad,520375
1002,Neha,Verma,user1@example.com,9876500001,,2000-08-12,Mumbai,107945
1003,Sneha,Patel,user2@example.com,9876500002,,2002-07-30,Chennai,17031
1004,Rakesh,Reddy,user3@example.com,9876500003,,1974-09-09,Bangalore,48175
1005,Amit,Singh,user4@example.com,9876500004,,2016-04-08,Kolkata,38245
1006,Anjali,Mehta,user5@example.com,9876500005,,1990-02-20,Delhi,99457
1007,Sameer,Gupta,user6@example.com,9876500006,Other,1998-12-25,Pune,62380
1008,Amit,Gupta,user7@example.com,9876500007,Male,2018-08-16,Ahmedabad,46106
1009,Sneha,Verma,user8@example.com,9876500008,,1980-01-18,Bangalore,52888
1010,Rakesh,Gupta,user9@example.com,9876500009,Male,2009-05-18,Chennai,34502
1011,Neha,Reddy,user10@example.com,9876500010,Other,2012-04-06,Mumbai,77548
1012,Sneha,Kumar,user11@example.com,9876500011,Female,1978-12-07,Delhi,79560
1013,Sneha,Verma,user12@example.com,9876500012,Female,1982-09-13,Chennai,71070
1014,Sameer,Patel,user13@example.com,9876500013,Female,1977-11-06,Pune,50681
1015,Priya,Sharma,user14@example.com,9876500014,,1995-05-01,Mumbai,95522
1016,Rakesh,Joshi,user15@example.com,9876500015,Female,1994-07-02,Kolkata,-1000
1017,Kavya,Reddy,user16@example.com,9876500016,,1970-07-07,Mumbai,30107
1018,Sneha,Patel,user17@example.com,9876500017,,1998-12-13,Pune,61123
1019,Priya,Kumar,user18@example.com,9876500018,Male,1990-04-14,Kolkata,41863
1020,Kavya,Sharma,user19@example.com,9876500019,Female,2015-09-01,Mumbai,94438
1021,Rakesh,Gupta,invalid@,9876500020,,1979-09-04,Hyderabad,56031
1022,Arjun,Kumar,user21@example.com,9876500021,Female,2050-01-01,Kolkata,37415
1023,Anjali,Verma,user22@example.com,9876500022,Female,1981-01-25,Kolkata,62076
1024,Priya,Rao,user23@example.com,9876500023,Female,1991-03-05,Delhi,96796
1025,Vijay,Rao,user24@example.com,9876500024,,2010-03-08,Delhi,82289
1026,Arjun,Gupta,user25@example.com,123,,1986-06-11,Hyderabad,54573
1027,Anjali,Rao,user26@example.com,9876500026,,1986-01-27,Kolkata,61519
1028,Sameer,Rao,user27@example.com,9876500027,,1980-09-09,Mumbai,84899
1029,Amit,Patel,user28@example.com,9876500028,,2012-05-07,Bangalore,92893
1030,Neha,Patel,user29@example.com,9876500029,Male,2002-10-13,Hyderabad,33985
1031,Vijay,Joshi,user30@example.com,9876500030,,2008-11-25,Mumbai,680719
1032,Sameer,Singh,user31@example.com,9876500031,Female,1976-03-11,Bangalore,57902
1033,Rakesh,Gupta,user32@example.com,9876500032,Other,2005-09-19,Mumbai,55248
1034,Sameer,Rao,user33@example.com,9876500033,Other,2018-09-30,Chennai,91840
1035,Amit,Joshi,user34@example.com,9876500034,Female,2009-09-21,Ahmedabad,37900
1036,Rakesh,Gupta,user35@example.com,9876500035,,2016-03-02,Delhi,81100
1037,Vijay,Rao,user36@example.com,9876500036,Female,1988-01-04,Mumbai,19358
