category,column_name,count
null_blank,EMP_ID,0
null_blank,EMP_NAME,200
null_blank,EMAIL,150
null_blank,PHONE,0
null_blank,SALARY,0
null_blank,DEPT_ID,0
null_blank,JOIN_DATE,0
duplicates,ALL_COLUMNS,0
duplicate_primary_keys,CUSTOMER_ID,0
outliers,EMP_ID,0
outliers,EMP_NAME,0
outliers,EMAIL,0
outliers,PHONE,250
outliers,SALARY,0
outliers,DEPT_ID,0
outliers,JOIN_DATE,0
mixed_types,SALARY,0
mixed_types,JOIN_DATE,0
invalid_dates,JOIN_DATE,0
invalid_emails,EMAIL,300
negative_values,AGE,0
negative_values,SALARY,100
special_characters,CUSTOMER_NAME,0
missing_mandatory_columns,STRUCTURE,0
datatype_violations,CUSTOMER_ID,0
datatype_violations,EMAIL,0
datatype_violations,AGE,0
datatype_violations,SALARY,0
datatype_violations,JOIN_DATE,0
datatype_violations,COUNTRY_CODE,0
datatype_violations,STATUS,0
range_violations,AGE,0
range_violations,SALARY,100
pattern_violations,EMAIL,300
pattern_violations,COUNTRY_CODE,0
pattern_violations,STATUS,0
allowed_value_violations,STATUS,0
allowed_value_violations,COUNTRY_CODE,0
referential_integrity,REFERENCE,0
business_rule_violations,active_customer_should_have_join_date,0
